frame_index,raw_x,raw_y,smoothed_x,smoothed_y,state_raw,state_smoothed,timestamp
0,348,190,348.0,190.0,DANGER,DANGER,2025-12-03 22:28:30.982750
1,,,,,,,2025-12-03 22:28:31.173417
2,,,,,,,2025-12-03 22:28:31.182922
3,,,,,,,2025-12-03 22:28:31.194610
4,,,,,,,2025-12-03 22:28:31.216902
5,,,,,,,2025-12-03 22:28:31.244512
6,,,,,,,2025-12-03 22:28:31.274569
7,334,188,345.2,189.60000000000002,DANGER,DANGER,2025-12-03 22:28:31.310809
8,,,,,,,2025-12-03 22:28:31.339806
9,,,,,,,2025-12-03 22:28:31.371385
10,,,,,,,2025-12-03 22:28:31.404329
11,,,,,,,2025-12-03 22:28:31.439334
12,,,,,,,2025-12-03 22:28:31.471119
13,,,,,,,2025-12-03 22:28:31.517117
