frame_index,raw_x,raw_y,smoothed_x,smoothed_y,state_raw,state_smoothed,timestamp
0,278,174,278.0,174.0,WARNING,WARNING,2025-12-03 22:27:20.567876
1,,,,,,,2025-12-03 22:27:20.772100
2,,,,,,,2025-12-03 22:27:20.779367
3,,,,,,,2025-12-03 22:27:20.788365
4,,,,,,,2025-12-03 22:27:20.795366
5,,,,,,,2025-12-03 22:27:20.818651
6,,,,,,,2025-12-03 22:27:20.849801
7,279,177,278.2,174.6,WARNING,WARNING,2025-12-03 22:27:20.885176
8,,,,,,,2025-12-03 22:27:20.914915
9,,,,,,,2025-12-03 22:27:20.945809
10,,,,,,,2025-12-03 22:27:20.979075
11,,,,,,,2025-12-03 22:27:21.009491
12,,,,,,,2025-12-03 22:27:21.042518
13,,,,,,,2025-12-03 22:27:21.073230
